Measles immunization (% of children ages 12-23 months) source; World Bank Indicator,,,,
Births attended by skilled health staff (% of total) source; World Bank Indicator,,,,
"Infant mortality rate (per 1,000 live births) source; World Bank Indicator",,,,
year,region,immunization,birth_attended,infant_mortality
1961,South Asia,NA,NA,166
1962,South Asia,NA,NA,163
1963,South Asia,NA,NA,160
1964,South Asia,NA,NA,158
1965,South Asia,NA,NA,155
1966,South Asia,NA,NA,153
1967,South Asia,NA,NA,150
1968,South Asia,NA,NA,148
1969,South Asia,NA,NA,146
1970,South Asia,NA,NA,144
1971,South Asia,NA,NA,142
1972,South Asia,NA,NA,140
1973,South Asia,NA,NA,137
1974,South Asia,NA,NA,135
1975,South Asia,NA,NA,132
1976,South Asia,NA,NA,130
1977,South Asia,NA,NA,127
1978,South Asia,NA,NA,124
1979,South Asia,NA,NA,121
1980,South Asia,NA,NA,118
1981,South Asia,NA,NA,115
1982,South Asia,NA,NA,112
1983,South Asia,NA,NA,109
1984,South Asia,NA,NA,107
1985,South Asia,5.85,NA,104
1986,South Asia,13.51,NA,102
1987,South Asia,25.01,NA,99
1988,South Asia,32.58,NA,97
1989,South Asia,44.19,NA,94
1990,South Asia,55.98,NA,92
1991,South Asia,46.74,NA,89
1992,South Asia,52.91,NA,87
1993,South Asia,59.34,NA,85
1994,South Asia,65.96,NA,82
1995,South Asia,69.03,NA,80
1996,South Asia,64.19,NA,78
1997,South Asia,56.7,NA,76
1998,South Asia,55.07,NA,73
1999,South Asia,57.78,NA,71
2000,South Asia,58.13,36.3719605,69
2001,South Asia,59.59,NA,67
2002,South Asia,58.82,NA,64
2003,South Asia,61.79,NA,62
2004,South Asia,66.04,NA,60
2005,South Asia,70.4,NA,58
2006,South Asia,70.71,NA,57
2007,South Asia,71.46,NA,55
2008,South Asia,73.22,NA,53
2009,South Asia,76.56,NA,52
2010,South Asia,80.49,NA,50
2011,South Asia,81.19,50.01597805,48
2012,South Asia,80.01,NA,47
2013,South Asia,80.29,NA,45
2014,South Asia,80.41,NA,43
1960,Sub-Saharan Africa,NA,NA,NA
1961,Sub-Saharan Africa,NA,NA,NA
1962,Sub-Saharan Africa,NA,NA,NA
1963,Sub-Saharan Africa,NA,NA,NA
1964,Sub-Saharan Africa,NA,NA,NA
1965,Sub-Saharan Africa,NA,NA,NA
1966,Sub-Saharan Africa,NA,NA,153
1967,Sub-Saharan Africa,NA,NA,150
1968,Sub-Saharan Africa,NA,NA,146
1969,Sub-Saharan Africa,NA,NA,145
1970,Sub-Saharan Africa,NA,NA,143
1971,Sub-Saharan Africa,NA,NA,140
1972,Sub-Saharan Africa,NA,NA,138
1973,Sub-Saharan Africa,NA,NA,136
1974,Sub-Saharan Africa,NA,NA,131
1975,Sub-Saharan Africa,NA,NA,129
1976,Sub-Saharan Africa,NA,NA,127
1977,Sub-Saharan Africa,NA,NA,124
1978,Sub-Saharan Africa,NA,NA,122
1979,Sub-Saharan Africa,NA,NA,121
1980,Sub-Saharan Africa,NA,NA,120
1981,Sub-Saharan Africa,NA,NA,118
1982,Sub-Saharan Africa,NA,NA,116
1983,Sub-Saharan Africa,NA,NA,115
1984,Sub-Saharan Africa,28.35,NA,114
1985,Sub-Saharan Africa,33.58,NA,113
1986,Sub-Saharan Africa,40.01,NA,112
1987,Sub-Saharan Africa,44.41,NA,111
1988,Sub-Saharan Africa,49.25,NA,110
1989,Sub-Saharan Africa,55.85,NA,109
1990,Sub-Saharan Africa,57.36,NA,109
1991,Sub-Saharan Africa,53.95,NA,108
1992,Sub-Saharan Africa,50.69,NA,107
1993,Sub-Saharan Africa,51.41,NA,106
1994,Sub-Saharan Africa,55.03,NA,105
1995,Sub-Saharan Africa,54.56,NA,104
1996,Sub-Saharan Africa,54.17,NA,102
1997,Sub-Saharan Africa,53.95,NA,101
1998,Sub-Saharan Africa,52.31,NA,99
1999,Sub-Saharan Africa,50.08,NA,97
2000,Sub-Saharan Africa,52.69,42.11,94
2001,Sub-Saharan Africa,52.94,NA,92
2002,Sub-Saharan Africa,54.22,NA,89
2003,Sub-Saharan Africa,56.94,NA,86
2004,Sub-Saharan Africa,58.87,NA,83
2005,Sub-Saharan Africa,61.03,NA,80
2006,Sub-Saharan Africa,63.72,NA,77
2007,Sub-Saharan Africa,66.01,NA,74
2008,Sub-Saharan Africa,68.08,NA,71
2009,Sub-Saharan Africa,73.21,NA,68
2010,Sub-Saharan Africa,73.68,NA,66
2011,Sub-Saharan Africa,72.08,48.82,64
2012,Sub-Saharan Africa,72.09,NA,62
2013,Sub-Saharan Africa,72.57,NA,60
2014,Sub-Saharan Africa,72.69,NA,58
